"Group_Name","GroupID","Month_Num","Month","Members","PERC_TOTAL_MEM","PERC_TOTAL_PSR_PHONE","PERC_TOTAL_PCG_NEWALERT","PERC_TOTAL_PCG_PAC","PERC_TOTAL_PCG_PDC","PERC_TOTAL_PCG_REF","PERC_TOTAL_PCG_FLLOWUP","PERC_TOTAL_PCG_TERM","PERC_TOTAL_PCG_EMPGRP","PSR_PHONE_ACTS_LIKE_MEM","PCG_FOLLOWUP_ACTS_LIKE","PCG_NEWALERT_ACTS_LIKE","PCG_PAC_ACTS_LIKE","PCG_PDC_ACTS_LIKE","PCG_REF_ACTS_LIKE","PCG_TERM_ACTS_LIKE","PCG_EMPGRP_ACTS_LIKE","PRED_PHONE_VOLUME","PRED_PCGNEWALERT","PRED_PCGFOLLOWUP","PRED_PCGPAC","PRED_PCGPDC","PRED_PCGREF","PRED_PCGTERM","PRED_PCGEMPGRP","SUCC_TIME_PCGNEWALERT","SUCC_TIME_PCGFOLLOWUP","SUCC_TIME_PCGEMPGRP","SUCC_TIME_PCGPAC","SUCC_TIME_PCGPDC","SUCC_TIME_PCGREF","SUCC_TIME_PCGTERM","UNSUCC_TIME_PCGNEWALERT","UNSUCC_TIME_PCGFOLLOWUP","UNSUCC_TIME_PCGEMPGRP","UNSUCC_TIME_PCGPAC","UNSUCC_TIME_PCGPDC","UNSUCC_TIME_PCGREF","UNSUCC_TIME_PCGTERM","PERC_SUCCESSFUL_PCGNEWALERT","PERC_SUCCESSFUL_PCGFOLLOWUP","PERC_SUCCESSFUL_PCGEMPGRP","PERC_SUCCESSFUL_PCGPAC","PERC_SUCCESSFUL_PCGPDC","PERC_SUCCESSFUL_PCGREF","PERC_SUCCESSFUL_PCGTERM","PCGPDC_TIME_HOURS_SUCC","PCGPDC_TIME_HOURS_UNSUCC","PCGPAC_TIME_HOURS_SUCC","PCGPAC_TIME_HOURS_UNSUCC","PCGFLLUP_TIME_HOURS_SUCC","PCGFLLUP_TIME_HOURS_UNSUCC","PCGNEWALERT_TIME_HOURS_SUCC","PCGNEWALERT_TIME_HOURS_UNSUCC","PCGREF_TIME_HOURS_SUCC","PCGREF_TIME_HOURS_UNSUCC","PCGTERM_TIME_HOURS_SUCC","PCGTERM_TIME_HOURS_UNSUCC","PCGEMPGRP_TIME_HOURS_SUCC","PCGEMPGRP_TIME_HOURS_UNSUCC","PCG_ALL_TIME_HOURS","PCG_SUCC_TIME_HOURS","PCG_UNSUCC_TIME_HOURS","PCGPDC_TIME_HOURS","PCGPAC_TIME_HOURS","PCGFLLUP_TIME_HOURS","PCGNEWALERT_TIME_HOURS","PCGREF_TIME_HOURS","PCGTERM_TIME_HOURS","PCGEMPGRP_TIME_HOURS","SUCC_TIME_PSR_PHONE"
"ACME COMPANY -1031",1031,1,"January",27724,0.017954,0.027553,0.009965,0.012529,0.017172,0.005071,0.003957,0.029175,0.004168,42546.5,5897.2,15387.6,19346.9,26516.5,7830.5,14522.9,12524.8,8460.8,223.7,85.7,27.5,221.2,109.8,631.9,90.3,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,8.238229,11.855012,5.256873,0.514116,10.347932,9.59356,28.062122,19.862937,19.769584,8.486302,21.062433,0,1.609778,0,144.658878,94.346951,50.311927,20.093241,5.770989,19.941492,47.925059,28.255886,21.062433,1.609778,7.68
"ACME COMPANY -1031",1031,2,"February",27724,0.017954,0.016207,0.009558,0.01301,0.015107,0.01188,0.003398,0.000168,0.004897,25026.3,13862,14759.2,20089.6,23327.8,18344.7,8559.3,17280.8,3863.9,170,89.8,37.7,210.6,314.1,4.4,129.5,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,7.843852,11.287495,7.20694,0.70483,10.846771,10.056034,21.331154,15.098623,56.537372,24.269262,0.147811,0,2.308882,0,167.639026,106.222782,61.416244,19.131347,7.91177,20.902805,36.429777,80.806634,0.147811,2.308882,7.68
"ACME COMPANY -1031",1031,3,"March",27724,0.017954,0.020535,0.00819,0.016577,0.016927,0.015853,0.002703,0.023818,0.005387,31709.5,14005.6,12646.7,25597.7,26138.1,24479.7,16002.2,15071.1,4876.6,95.1,81.8,38.2,270.2,479.6,720.5,163,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,10.063429,14.48152,7.307511,0.714666,9.873416,9.153637,11.928751,8.443412,86.331849,37.058855,24.017893,0,2.906136,0,222.281075,152.428985,69.85209,24.544949,8.022177,19.027053,20.372163,123.390704,24.017893,2.906136,7.68
"ACME COMPANY -1031",1031,4,"April",27724,0.017954,0.020713,0.009781,0.013451,0.00803,0.011048,0.005879,0.020535,0.003387,31984.4,19014.9,15103.5,20770.6,12399.7,17060,14845.6,15109.7,4518.2,135.8,197.3,31.8,114.8,370.7,689,113.7,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,4.273839,6.150159,6.083951,0.595003,23.815327,22.079173,17.035358,12.057971,66.72859,28.643949,22.967509,0,2.026905,0,212.457734,142.931479,69.526255,10.423998,6.678954,45.8945,29.093329,95.372539,22.967509,2.026905,7.68
"ACME COMPANY -1031",1031,5,"May",27724,0.017954,0.017167,0.012052,0.011569,0.0151,0.012165,0.00314,0.000214,0.005107,26508.7,15262.6,18610.3,17864.5,23316.9,18784.8,8360.1,17022.9,3324.3,293.3,80.3,33.6,235.7,311.2,5.5,130.6,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,8.777059,12.630402,6.439853,0.62981,9.695799,8.988969,36.799389,26.047352,56.011991,24.043737,0.182265,0,2.329351,0,192.575977,120.235707,72.34027,21.407461,7.069663,18.684768,62.846741,80.055728,0.182265,2.329351,7.68
"ACME COMPANY -1031",1031,6,"June",27724,0.017954,0.023303,0.013279,0.015643,0.017017,0.013962,0.008212,0.000185,0.005079,35983.8,22375,20505,24155.4,26277.1,21559.7,10047.9,16757.3,4873.5,412.5,201.8,52.4,274.8,343.1,4.6,124.8,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,10.233567,14.726352,10.030681,0.980988,24.364617,22.588419,51.751076,36.630459,61.762531,26.512216,0.151831,0,2.225635,0,261.958372,160.519938,101.438434,24.959919,11.011669,46.953036,88.381535,88.274747,0.151831,2.225635,7.68
"ACME COMPANY -1031",1031,7,"July",27724,0.017954,0.015318,0.011558,0.008594,0.016467,0.013044,0.003685,0.000155,0.004351,23653.6,16355.8,17847.5,13270.6,25427.8,20142.1,8099.2,18548.6,2906.2,335.1,89.6,19.8,256.8,317.3,3.8,105.8,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,9.562042,13.760012,3.789984,0.370656,10.821723,10.032812,42.045091,29.760366,57.110623,24.515336,0.12554,0,1.887009,0,203.781194,125.342012,78.439182,23.322054,4.16064,20.854535,71.805457,81.625959,0.12554,1.887009,7.68
"ACME COMPANY -1031",1031,8,"August",27724,0.017954,0.013557,0.010625,0.011714,0.014365,0.010572,0.002848,0.011738,0.004914,20934.3,15696.5,16406.8,18088.4,22182,16324.9,13636.6,15267.2,2953.1,347.7,73,41.6,253.6,271,300.9,126,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,9.44383,13.589901,7.970827,0.779537,8.81452,8.171935,43.623814,30.877819,48.782406,20.940361,10.029555,0,2.246399,0,205.270904,130.911351,74.359553,23.033731,8.750364,16.986455,74.501633,69.722767,10.029555,2.246399,7.68
"ACME COMPANY -1031",1031,9,"September",27724,0.017954,0.017653,0.011659,0.012808,0.013798,0.011863,0.005568,0.008718,0.007712,27259.2,24118.4,18003.5,19777.7,21306.4,18318.5,15535.9,30738.2,3329.7,567.4,150,39.4,257.3,319.7,234.9,207.8,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,9.582483,13.789427,7.543928,0.737787,18.112379,16.791974,71.183467,50.385099,57.543265,24.701052,7.830271,0,3.705766,0,281.906898,175.501559,106.405339,23.37191,8.281715,34.904353,121.568566,82.244317,7.830271,3.705766,7.68
"ACME COMPANY -1031",1031,10,"October",27724,0.017954,0.015488,0.011446,0.012045,0.014577,0.011612,0.002717,0.00036,0.003628,23916.1,15799.9,17674.6,18599.5,22509.3,17930.9,7971,14762.3,3507.5,318.7,73,34.5,285.9,312.1,9.7,97.5,32.73,26.83,1.07,15.52,31.02,32.73,2,6.92,9.2,1.07,4.32,5.45,6.92,2,0.23,0.27,1,0.74,0.41,0.33,1,10.649095,15.324308,6.610194,0.646469,8.816565,8.173831,39.985785,28.302748,56.174566,24.113524,0.322424,0,1.738926,0,200.858435,124.297555,76.56088,25.973403,7.256663,16.990396,68.288533,80.28809,0.322424,1.738926,7.68
