"Config_Name","POD","EXP_RATIO","PSR_EXP_RATIO"
"Initial Config",1,0.2,0.2
"Initial Config",2,0.2,0.2
"Initial Config",3,0.2,0.2
"Initial Config",4,0.2,0.2
"Initial Config",5,0.2,0.2
"Initial Config",6,0.2,0.2
"Initial Config",7,0.2,0.2
"Initial Config",8,0.2,0.2
"Initial Config",9,0.2,0.2
"Initial Config",10,0.2,0.2
"Initial Config",11,0.2,0.2
"Initial Config",12,0.2,0.2
"Initial Config",13,0.2,0.2
"Initial Config",14,0.2,0.2
"Initial Config",15,0.2,0.2
"Initial Config",16,0.2,0.2
"Initial Config",17,0.2,0.2
"Initial Config",18,0.2,0.2
"Initial Config",19,0.2,0.2
"Initial Config",20,0.2,0.2
"Initial Config",21,0.2,0.2
"Initial Config",22,0.2,0.2
"Initial Config",23,0.2,0.2
"Initial Config",24,0.2,0.2
"covid19",1,0.2,0.2
"covid19",2,0.2,0.2
"covid19",3,0.2,0.2
"covid19",4,0.2,0.2
"covid19",5,0.2,0.2
"covid19",6,0.2,0.2
"covid19",7,0.2,0.2
"covid19",8,0.2,0.2
"covid19",9,0.2,0.2
"covid19",10,0.2,0.2
"covid19",11,0.2,0.2
"covid19",12,0.2,0.2
"covid19",13,0.2,0.2
"covid19",14,0.2,0.2
"covid19",15,0.2,0.2
"covid19",16,0.2,0.2
"covid19",17,0.2,0.2
"covid19",18,0.2,0.2
"covid19",19,0.2,0.2
"covid19",20,0.2,0.2
"covid19",21,0.2,0.2
"covid19",22,0.2,0.2
"covid19",23,0.2,0.2
"covid19",24,0.2,0.2
"Fan",1,0.2,0.2
"Fan",2,0.2,0.2
"Fan",3,0.2,0.2
"Fan",4,0.2,0.2
"Fan",5,0.2,0.2
"Fan",6,0.2,0.2
"Fan",7,0.2,0.2
"Fan",8,0.2,0.2
"Fan",9,0.2,0.2
"Fan",10,0.2,0.2
"Fan",11,0.2,0.2
"Fan",12,0.2,0.2
"Fan",13,0.2,0.2
"Fan",14,0.2,0.2
"Fan",15,0.2,0.2
"Fan",16,0.2,0.2
"Fan",17,0.2,0.2
"Fan",18,0.2,0.2
"Fan",19,0.2,0.2
"Fan",20,0.2,0.2
"Fan",21,0.2,0.2
"Fan",22,0.2,0.2
"Fan",23,0.2,0.2
"Fan",24,0.2,0.2
"Fan",25,0.2,0.2
"Fan",26,0.2,0.2
"Fan",27,0.2,0.2
